Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Variant Image,Variant Weight Unit,Variant Harmonized System Code,Variant Country of Origin
"fk-2524","Kromatic Show Krome Metal Flake","<p>FKK01 Kromatic Show Krome Metal Flake. Available in .002″, .004″, .008″ & .015″<br/>If you are looking for pure commercial/industrial grade Glitters or Metal Flake that are specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine. All of which require metal flake glitter with outstanding physical and chemical properties…<br/>Then you have come to the right company!<br/>Flake King Polyester Flake was specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine and many more, all of which require metal flake glitter with outstanding physical and chemical properties.<br/>A full chart of colours can be found in the images.<br/>To learn more about the following products – guns, flake & surface binders please watch the video by clicking this link – Product Video</p>","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","1000g (1 Kilo Trade Pack)","","","kromatic-show-krome-metal-flake-1","500","shopify","50","deny","manual","626.66","","TRUE","TRUE","","assets/images/flakes/fk-2524.jpg","1","","g","3926.90.97","GB"
"fk-2524","Kromatic Show Krome Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","100g Jar (Refill / Trade)","","","kromatic-show-krome-metal-flake-2","500","shopify","50","deny","manual","64.88","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2524","Kromatic Show Krome Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","30g Jar (Gun Mount)","","","kromatic-show-krome-metal-flake-3","500","shopify","50","deny","manual","20.46","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2426","Flake King 1000 Nozzle","<p>Available in small, medium & large.<br/>Fan nozzles that can be bought individually or as a pack.</p>","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Size / Pack","Small Nozzle","","","FOM1000NZS","500","shopify","50","deny","manual","5.55","","TRUE","TRUE","5060733580038","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FanNozzles.jpg?fit=600%2C600&ssl=1","1","","g","8424.90.00","GB"
"fk-2426","Flake King 1000 Nozzle","","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Size / Pack","Medium Nozzle","","","FOM1000NZM","500","shopify","50","deny","manual","5.55","","TRUE","TRUE","5060733580045","","","","g","8424.90.00","GB"
"fk-2426","Flake King 1000 Nozzle","","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Size / Pack","Large Nozzle","","","FOM1000NZL","500","shopify","50","deny","manual","5.55","","TRUE","TRUE","5060733580052","","","","g","8424.90.00","GB"
"fk-2423","FOM 1000/1050 100g Jar and Standard Lid","<p>Replacement Jar and Lid for the Flake King 1000 & 1050.</p>","Flake King","Flake King Gun Accessories","Coast Europe, Flake King, Flake King Gun Accessories","TRUE","Title","Default Title","","","FOM1000Jar","500","shopify","50","deny","manual","1.65","","TRUE","TRUE","5060733580021","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FOM1000JarLid-scaled.jpg?fit=2560%2C2560&ssl=1","1","","g","8424.90.00","GB"
"fk-2415","FK100 Prime Black Base","<p>Available in 100ml, 500ml & 1 Litre Bottles<br/>When we considered the perfect colour for our Metal Flake, we had to look no further than FK100 our prime black base that offers incredible adhesion to the wide ranging array of primers on the market today.<br/>Again, as it’s water based, it’s better for the environment, inert and will not react with previously applied products it also easier to ship (worldwide)<br/>Prime Black Base will adhere to properly prepared surfaces such as existing finishes, primer, plastic, vinyl, fibreglass, wood and most substrates.<br/>Prime black base is be the perfect companion for our FK50 Surface binder to adhere to.</p>","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","100ml","","","FK100100","500","shopify","50","deny","manual","10.28","","TRUE","TRUE","5060733583152","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FK100FamilyWeb_1.jpg?fit=600%2C600&ssl=1","1","","g","3208.90.19","GB"
"fk-2415","FK100 Prime Black Base","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","500ml","","","FK100500","500","shopify","50","deny","manual","45.86","","TRUE","TRUE","5060733583176","","","","g","3208.90.19","GB"
"fk-2415","FK100 Prime Black Base","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","1000ml","","","FK1001000","500","shopify","50","deny","manual","104.72","","TRUE","TRUE","5060733583183","","","","g","3208.90.19","GB"
"fk-2409","FK55 Thinner","<p>Available in 50ml & 100ml<br/>This is our go to thinner for both our FK50 Surface Binder and our FK100 Prime Base. It can be added to a maximum of 10% volume.<br/>It will also be our standard thinners for all new wet products moving forward.</p>","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","50ml","","","FK5550","500","shopify","50","deny","manual","5.60","","TRUE","TRUE","5060733580342","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FK55FamilyWeb.jpg?fit=600%2C600&ssl=1","1","","g","3814.00.90","GB"
"fk-2409","FK55 Thinner","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","100ml","","","FK55100","500","shopify","50","deny","manual","11.04","","TRUE","TRUE","5060733580359","","","","g","3814.00.90","GB"
"fk-2401","FK50 Surface Binder","<p>Available in 100ml, 500ml & 1 Litre Bottles<br/>FK50 Surface binder is a water based adhesion product, that can applied by brush, dabbed on with a sponge or sprayed on with Spray gun or Airbrush (when thinned with FK55 Thinners).<br/>Developed to stay open longer than a typical solvent or existing water based product with reduced potential of sagging when applied in a medium to wet coat. Its primary use is for the application of our Dry Metal Flakes (Industrial/Commercial Glitters) and our dry blended metal powders.<br/>Why is it better than, for example a solvent binder or 2k clear?<br/>Well as it’s water based, it’s better for the environment, inert will not react with previously applied products, easier to ship (worldwide) and there are no sensible limitations on how many coats that can be applied (within reason).<br/>It also produces a nice clean edge, for masking removal, allowing you to now be able to produce coloured flake designs rather than traditional methods of silver base and coloured “candy” dyes on top. Coloured flake will last longer in direct sunlight than candy dye based products.<br/>An additional bonus the FK50 Surface binder when applied over a complete flaked area, reduces the amount of clear coat required.<br/>FK50 will adhere to properly prepared surfaces such as existing finishes, primer, plastic, vinyl, fibreglass, wood and most substrates.</p>","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","50ml","","","FK5050","500","shopify","50","deny","manual","4.99","","TRUE","TRUE","5060733580298","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FK50Familyweb.jpg?fit=600%2C600&ssl=1","1","","g","3208.90.19","GB"
"fk-2401","FK50 Surface Binder","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","100ml","","","FK50100","500","shopify","50","deny","manual","9.25","","TRUE","TRUE","5060733580304","","","","g","3208.90.19","GB"
"fk-2401","FK50 Surface Binder","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","500ml","","","FK50500","500","shopify","50","deny","manual","40.36","","TRUE","TRUE","5060733580328","","","","g","3208.90.19","GB"
"fk-2401","FK50 Surface Binder","","Flake King","Basecoats & Binders","Coast Europe, Flake King, Basecoats & Binders","TRUE","Size / Pack","1000ml","","","FK501000","500","shopify","50","deny","manual","79.72","","TRUE","TRUE","5060733580335","","","","g","3208.90.19","GB"
"fk-2392","UltiMask Crepe Masking Tape","<p>Available in 18mm, 24mm, 36mm & 48mm widths<br/>UltiMask Crepe Masking Tape is a general all-round crepe tape for masking off areas when spraying vehicles. It is ideally suited to use with other Flake King products, with a strong adhesion and is heat-resistant to temperatures of 80C/176F. UltiMask Crepe Masking Tape can be easily removed, leaving no residue and is available in widths from 19mm to 48mm. UltiMask Crepe Masking Tape is the perfect high-quality everyday tape. Supplied individually packed to keep clean and dry.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","ultimask-crepe-masking-tape","500","shopify","50","deny","manual","1.40","","TRUE","TRUE","5060733583145","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/UltiMaskCrepe18mmB.gif?fit=600%2C600&ssl=1","1","","g","4811.41.00","GB"
"fk-2380","Prime Flat Line Masking Tape","<p>Prime Flat Line Masking Tape<br/>Available in 6mm, 9mm, 12mm, 24mm & 48mm widths<br/>Prime Flat Line Orange is our precision masking solution for masking rubbers, plastics, mouldings, trims, canvass and artboards – both paper and synthetic airbrush papers. Summed up it is a flat non-bleed tape that adheres to surfaces that conventional masking tape would not!<br/>Constructed from “washi” or better known as rice paper, this non-bleed tape is suitable for fine-line work as well as general masking. Developed for high end industrial, commercial model makers, scenery, film, automotive, and artists applications. Ideal for placing over existing artwork or vinyl fine lines as the tape is so translucent it allows you see through it to cut and remove the necessary areas.<br/>The flexible, water-proof, advanced acrylic adhesive means that it will adhere to surfaces that standard masking tape would otherwise not; resistant to 110C/230F, available in widths from 6mm upwards. However, we can produce this to any width required subject to quantity.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","prime-flat-line-masking-tape","500","shopify","50","deny","manual","1.66","","TRUE","TRUE","5060733583299","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/FlatLine6mm.png?fit=600%2C600&ssl=1","1","","g","3919.10.80","GB"
"fk-2375","Prime Orange Fine Line Mixed Set","<p>Prime Orange Fine Line Mixed Set<br/>Sizes included: 1 x 1mm, 1 x 2mm, 2 x 3mm<br/>Our Prime Orange Fine Line Tape uses thermally stabilised PVC backing with a rubber based pressure sensitive adhesive. Thinner and more translucent than other Fine Line Tapes making it ideal for seeing through to painted surfaces. Like our prime green fine line it is extremely versatile, perfect for intricate, delicate and multi-layer masking perfect for undulating surfaces and capable of tight radius curves. Developed for high end industrial, commercial model makers, scenery, film and automotive applications. Heat resistant to temperatures up to 138°C/280°F for at least 45 minutes; after painting, it can be cleanly removed leaving a defined line with no adhesive residue.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","TPORMix","500","shopify","50","deny","manual","15.83","","TRUE","TRUE","5060733583282","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/WebOrangeProSet_1.jpg?fit=600%2C600&ssl=1","1","","g","3919.10.80","GB"
"fk-2366","Prime Orange Fine Line","<p>Available in 1mm, 2mm, 3mm & 6mm widths<br/>Our Prime Orange Fine Line Tape uses thermally stabilised PVC backing with a rubber based pressure sensitive adhesive. Thinner and more translucent than other Fine Line Tapes making it ideal for seeing through to painted surfaces. Like our prime green fine line it is extremely versatile, perfect for intricate, delicate and multi-layer masking perfect for undulating surfaces and capable of tight radius curves. Developed for high end industrial, commercial model makers, scenery, film and automotive applications. Heat resistant to temperatures up to 138°C/280°F for at least 45 minutes; after painting, it can be cleanly removed leaving a defined line with no adhesive residue.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","prime-orange-fine-line","500","shopify","50","deny","manual","2.91","","TRUE","TRUE","5060733583244","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/Orange1mm.png?fit=600%2C600&ssl=1","1","","g","3919.10.80","GB"
"fk-2361","Prime Green Fine Line Mixed Set","<p>Prime Green Fine Line Mixed Set<br/>Sizes included: 1 x 1mm, 1 x 2mm, 2 x 3mm<br/>Our Prime Green Fine Line Tape uses thermally stabilised PVC backing with a rubber based pressure sensitive adhesive. Thinner and more translucent than other Fine Line Tapes making it ideal for seeing through to painted surfaces. Like our prime orange fine line it is extremely versatile, perfect for intricate, delicate and multi-layer masking perfect for undulating surfaces and capable of tight radius curves. Developed for high end industrial, commercial model makers, scenery, film and automotive applications. Heat resistant to temperatures up to 132° C/270° F for at least 30 minutes.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","TPGRMix","500","shopify","50","deny","manual","15.83","","TRUE","TRUE","5060733583237","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/WebGreenProSet.jpg?fit=600%2C600&ssl=1","1","","g","3919.10.80","GB"
"fk-2352","Prime Green Fine Line Tape","<p>Available in 1mm, 2mm, 3mm & 6mm widths<br/>Our Prime Green Fine Line Tape uses thermally stabilised PVC backing with a rubber based pressure sensitive adhesive. Thinner and more translucent than other Fine Line Tapes making it ideal for seeing through to painted surfaces. Like our prime orange fine line it is extremely versatile, perfect for intricate, delicate and multi-layer masking perfect for undulating surfaces and capable of tight radius curves. Developed for high end industrial, commercial model makers, scenery, film and automotive applications. Heat resistant to temperatures up to 132° C/270° F for at least 30 minutes.</p>","Flake King","Masking Products","Coast Europe, Flake King, Masking Products","TRUE","Title","Default Title","","","prime-green-fine-line-tape","500","shopify","50","deny","manual","2.91","","TRUE","TRUE","5060733583190","https://i0.wp.com/www.flakeking.com/wp-content/uploads/2020/06/Green1mm.png?fit=600%2C600&ssl=1","1","","g","3919.10.80","GB"
"fk-2341","Kromatic Black Asteroid Metal Flake","<p>FKK13 Kromatic Asteroid Metal Flake. Available in .008″ & .015″<br/>If you are looking for pure commercial/industrial grade Glitters or Metal Flake that are specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine. All of which require metal flake glitter with outstanding physical and chemical properties…<br/>Then you have come to the right company!<br/>Flake King Polyester Flake was specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine and many more, all of which require metal flake glitter with outstanding physical and chemical properties.<br/>A full chart of colours can be found in the images.<br/>To learn more about the following products – guns, flake & surface binders please watch the video by clicking this link – Product Video</p>","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","1000g (1 Kilo Trade Pack)","","","kromatic-asteroid-metal-flake-1","500","shopify","50","deny","manual","151.90","","TRUE","TRUE","","assets/images/flakes/fk-2341.jpg","1","","g","3926.90.97","GB"
"fk-2341","Kromatic Black Asteroid Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","100g Jar (Refill / Trade)","","","kromatic-asteroid-metal-flake-2","500","shopify","50","deny","manual","17.38","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2341","Kromatic Black Asteroid Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","30g Jar (Gun Mount)","","","kromatic-asteroid-metal-flake-3","500","shopify","50","deny","manual","6.21","","TRUE","TRUE","","","","","g","3926.90.97","GB"
"fk-2330","Gun Metal Metal Flake","<p>FKS23 Gun Metal Metal Flake. Available in .008″ & .015″<br/>If you are looking for pure commercial/industrial grade Glitters or Metal Flake that are specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine. All of which require metal flake glitter with outstanding physical and chemical properties…<br/>Then you have come to the right company!<br/>Flake King Polyester Flake was specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine and many more, all of which require metal flake glitter with outstanding physical and chemical properties.<br/>A full chart of colours can be found in the images.<br/>To learn more about the following products – guns, flake & surface binders please watch the video by clicking this link – Product Video</p>","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","1000g (1 Kilo Trade Pack)","","","gun-metal-metal-flake-1","500","shopify","50","deny","manual","108.33","","TRUE","TRUE","","assets/images/flakes/fk-2330.jpg","1","","g","8424.20.00","GB"
"fk-2330","Gun Metal Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","100g Jar (Refill / Trade)","","","gun-metal-metal-flake-2","500","shopify","50","deny","manual","12.49","","TRUE","TRUE","","","","","g","8424.20.00","GB"
"fk-2330","Gun Metal Metal Flake","","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","30g Jar (Gun Mount)","","","gun-metal-metal-flake-3","500","shopify","50","deny","manual","4.71","","TRUE","TRUE","","","","","g","8424.20.00","GB"
"fk-2319","Kromatic Elvis Gold Metal Flake","<p>FKK01 Kromatic Elvis Gold Metal Flake. Available in .008″ & .015″<br/>If you are looking for pure commercial/industrial grade Glitters or Metal Flake that are specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine. All of which require metal flake glitter with outstanding physical and chemical properties…<br/>Then you have come to the right company!<br/>Flake King Polyester Flake was specifically designed to meet the requirements of manufacturers of decorated fabrics, adhesives, vinyl, sheeting, plastic molding, inks, paints, in industries such as automotive, leisure, commercial properties, theme parks, marine and many more, all of which require metal flake glitter with outstanding physical and chemical properties.<br/>A full chart of colours can be found in the images.<br/>To learn more about the following products – guns, flake & surface binders please watch the video by clicking this link – Product Video</p>","Flake King","Dry Metal Flake (Glitter)","Coast Europe, Flake King, Dry Metal Flake (Glitter)","TRUE","Size / Pack","1000g (1 Kilo Trade Pack)","","","kromatic-elvis-gold-metal-flake-1","500","shopify","50","deny","manual","151.90","","TRUE","TRUE","","assets/images/flakes/fk-2319.jpg","1","","g","3926.90.97","GB"
